Data,Instituição,Curso
2024-11-03 19:01:51,Fucape,Administração
2024-11-03 19:01:51,Fucape,Ciência de Dados para Negócios
2024-11-03 19:01:51,Fucape,Contador Global
2024-11-03 19:01:51,Fucape,Direito
2024-11-03 19:01:51,Fucape,Economia
2024-11-03 19:01:51,Fucape,MBA
2024-11-03 19:01:51,Fucape,Mestrado
2024-11-03 19:01:51,Fucape,Doutorado
2024-11-03 19:01:52,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 19:01:53,IFES,Engenharia de Controle e Automação
2024-11-03 19:01:53,IFES,Sistemas de Informação
2024-11-03 19:01:53,IFES,Tecnologia em Sistemas para Internet - EaD
